cycle,recall,precision,recall_10,precision_10,top_mean_1,top_mean_2,top_mean_3,recall_g,precision_g,recall_10_g,precision_10_g,top_mean_1_g,top_mean_2_g,top_mean_3_g,N_init,N_per_cycle,strategy,dms_index,model_type,tmp_path,noise_level,ablang,use_dropout,logit_mode,Training size
4,0.6666666666666666,0.02,0.611764705882353,0.17333333333333334,0.13982508492805015,0.09913742087494565,0.07943223349506304,0.7777777777777778,0.011666666666666667,0.611764705882353,0.17333333333333334,0.14501429059181364,0.10652104656907813,0.08749282884844158,75,75,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-75_ini-1,0.0,False,False,False,300
5,0.7777777777777778,0.018666666666666668,0.6705882352941176,0.152,0.14497983644626172,0.10297003329222651,0.0826679659130883,0.8888888888888888,0.013333333333333334,0.6705882352941176,0.152,0.1559287375343205,0.11197827004033153,0.09098074832030528,75,75,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-75_ini-1,0.0,False,False,False,375
6,0.7777777777777778,0.015555555555555555,0.7294117647058823,0.13777777777777778,0.14497983644626172,0.10297003329222651,0.0826679659130883,0.8888888888888888,0.013333333333333334,0.7294117647058823,0.13777777777777778,0.1559287375343205,0.11227256896648068,0.0911769476044047,75,75,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-75_ini-1,0.0,False,False,False,450
7,0.7777777777777778,0.013333333333333334,0.7647058823529411,0.12380952380952381,0.14501429059181364,0.10439112970363613,0.08429717642390239,0.7777777777777778,0.011666666666666667,0.7647058823529411,0.12380952380952381,0.14501429059181364,0.10547815141729722,0.08602325697860887,75,75,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-75_ini-1,0.0,False,False,False,525
8,0.7777777777777778,0.011666666666666667,0.8352941176470589,0.11833333333333333,0.14501429059181364,0.10547815141729722,0.08602325697860887,,,,,,,,75,75,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-75_ini-1,0.0,False,False,False,600
1,0.0,0.0,0.09595959595959595,0.38,2.3210574329206786,2.034845626961777,1.8484295465106177,0.5,0.016666666666666666,0.09595959595959595,0.38,3.858057045115019,3.4154803107710046,3.172726958553891,50,50,ucb,0,sequence,outputs/ucb_0.0/dms_sequence_0_N-50_ini-1,0.0,False,False,False,50
2,0.05,0.01,0.26262626262626265,0.52,2.8490949016217115,2.573266330712263,2.4047051760339078,0.5,0.016666666666666666,0.26262626262626265,0.52,3.807716812243677,3.394920318830664,3.1728774104824597,50,50,ucb,0,sequence,outputs/ucb_0.0/dms_sequence_0_N-50_ini-1,0.0,False,False,False,100
3,0.15,0.02,0.35858585858585856,0.47333333333333333,3.1255579845376587,2.790756068033848,2.6084248459237402,0.6,0.02,0.35858585858585856,0.47333333333333333,3.8915543246831477,3.4588058872499694,3.2016106762065344,50,50,ucb,0,sequence,outputs/ucb_0.0/dms_sequence_0_N-50_ini-1,0.0,False,False,False,150
4,0.25,0.025,0.4696969696969697,0.465,3.351135498666186,2.9980241476899,2.8095745043069456,0.7,0.023333333333333334,0.4696969696969697,0.465,4.033576940541937,3.586148201756899,3.331081705911074,50,50,ucb,0,sequence,outputs/ucb_0.0/dms_sequence_0_N-50_ini-1,0.0,False,False,False,200
5,0.4,0.032,0.5858585858585859,0.464,3.5364403079525992,3.143229663853922,2.946005703526571,0.8,0.02666666666666667,0.5858585858585859,0.464,4.003812426256933,3.6107234511888677,3.3703106983169633,50,50,ucb,0,sequence,outputs/ucb_0.0/dms_sequence_0_N-50_ini-1,0.0,False,False,False,250
